City,Client name,Country,Customer Segment,Date of Sale,Packaging,Priority,Product Category,Product Sub-Category,Product's name,Region,Row ID,Send date,Shipping Method,State,Zip code,Discount,Margin,Profit,Quantity,Sale Value,Shipping cost,Unit price
Porto Alegre,Muhammed Yedwab,Brasil,Consumer,1/6/2016,Wrap Bag,Critical,Office Supplies,Pens and art supplies,"Sanford EarthWriteÂ® Recycled Pencils, Medium Soft, #2",Sul,2325,1/7/2009 0:00,Normal Air,Rio Grande do Sul,23805,0.03,0.57,0.61,17,37.06,0.7,2.1
Porto Alegre,Tracy Collins,Brasil,Consumer,1/6/2016,Small Pack,Not Specified,Technology,Peripherals,BASF Silver 74 Minute CD-R,Sul,2350,1/7/2009 0:00,Normal Air,Rio Grande do Sul,20170,0.06,0.51,-37.08,27,46.86,1.99,1.7
Porto Alegre,Tracy Collins,Brasil,Consumer,1/6/2016,Small Box,Not Specified,Office Supplies,Paper,Xerox 19,Sul,2351,1/8/2009 0:00,Normal Air,Rio Grande do Sul,20170,0.01,0.4,433.24,34,1089.59,5.09,30.98
Recife,Julia Barnett,Brasil,Home Office,1/6/2016,Wrap Bag,High,Office Supplies,Pens and art supplies,Newell 342,Nordeste,3283,1/8/2009 0:00,Normal Air,Pernambuco,92672,0.03,0.56,-73.19,29,101.77,3.97,3.28
GoiÃ¢nia,Julia West,Brasil,Home Office,1/6/2016,Jumbo Box,Critical,Furniture,Estantes,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Centro-Oeste,3284,1/7/2009 0:00,Road Transport,GoiÃ¡s,61401,0.04,0.62,-11053.6,30,26133.39,44.55,880.98
Porto Alegre,Maribeth Schnelling,Brasil,Corporate,1/6/2016,Small Box,Low,Office Supplies,Paper,Xerox 227,Sul,5794,1/8/2009 0:00,Normal Air,Rio Grande do Sul,20151,0.09,0.37,-225.86,46,298.97,8.73,6.48
Porto Alegre,Maribeth Schnelling,Brasil,Corporate,1/6/2016,Large Box,Low,Office Supplies,Storage and Organization,Tennsco Commercial Shelving,Sul,5795,1/10/2009 0:00,Normal Air,Rio Grande do Sul,20151,0.05,0.84,-153.46,6,159.05,35,20.34
Belo Horizonte,Corey Roper,Brasil,Small Business,1/6/2016,Jumbo Box,Low,Furniture,Estantes,"Bush Westfield Collection Bookcases, Fully Assembled",Sudeste,6773,1/6/2009 0:00,Road Transport,Minas Gerais,6010,0.02,0.62,-108.8,23,2357.45,35.84,100.98
SÃ£o Paulo,Jasper Cacioppo,Brasil,Home Office,1/7/2016,Small Box,Average,Office Supplies,Covers and Acessories,Avery Reinforcements for Hole-Punch Pages,Sudeste,450,1/8/2009 0:00,Normal Air,SÃ£o Paulo,11010,0.05,0.4,-11.5805,3,10.58,4.77,1.98
SÃ£o Paulo,Jasper Cacioppo,Brasil,Home Office,1/7/2016,Large Box,Average,Technology,Copiadoras e fax,Canon PC1060 Personal Laser Copier,Sudeste,451,1/8/2009 0:00,Fast Air,SÃ£o Paulo,11010,0.07,0.41,-2314.74,3,2119.67,24.49,699.99
SÃ£o Paulo,Jasper Cacioppo,Brasil,Home Office,1/7/2016,Large Box,Average,Technology,Office machines,Polycom ViewStationâ„¢ ISDN Videoconferencing Unit,Sudeste,452,1/8/2009 0:00,Normal Air,SÃ£o Paulo,11010,0.07,0.39,102.61,7,45923.76,24.49,6783.02
Formosa,George Ashbrook,Brasil,Consumer,1/7/2016,Small Box,Average,Office Supplies,Covers and Acessories,Premium Transparent Presentation Covers by GBC,Centro-Oeste,2538,1/9/2009 0:00,Fast Air,GoiÃ¡s,79424,0.09,0.37,60.2735,30,610.65,8.83,20.98
Formosa,George Ashbrook,Brasil,Consumer,1/7/2016,Small Box,Average,Technology,Peripherals,Keytronic French Keyboard,Centro-Oeste,2539,1/10/2009 0:00,Normal Air,GoiÃ¡s,79424,0.03,0.65,-263.09,2,158.04,14.52,73.98
Brasilia,Pauline Chand,Brasil,Small Business,1/7/2016,Small Box,High,Technology,Telephones and Communication,i1000,Centro-Oeste,4540,1/8/2009 0:00,Normal Air,Mato Grosso do Sul,73071,0.07,0.58,-112.244,11,607.597,5.99,65.99
Recife,Benjamin Venier,Brasil,Small Business,1/7/2016,Small Box,Low,Technology,Telephones and Communication,i1000,Nordeste,4778,1/11/2009 0:00,Normal Air,Pernambuco,93727,0.05,0.58,425.754,34,1961.7915,5.99,65.99
Vitória,Julie Kriz,Brasil,Corporate,1/7/2016,Wrap Bag,Low,Office Supplies,Pens and art supplies,Newell 310,Sudeste,5733,1/12/2009 0:00,Normal Air,Espírito Santo,4011,0.01,0.56,-2.06,6,11.57,0.7,1.76
Fortaleza,Chloris Kastensmidt,Brasil,Consumer,1/7/2016,Small Box,High,Office Supplies,Covers and Acessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Nordeste,6199,1/8/2009 0:00,Normal Air,CearÃ¡,89115,0.08,0.37,-199.134,46,737.25,13.18,15.99
SÃ£o Paulo,Sandra Flanagan,Brasil,Home Office,1/8/2016,Small Box,High,Office Supplies,Hang tags,Avery 491,Sudeste,611,1/8/2009 0:00,Normal Air,SÃ£o Paulo,44125,0.07,0.39,14.42,16,64.29,0.99,4.13
SÃ£o Paulo,Sandra Flanagan,Brasil,Home Office,1/8/2016,Small Pack,High,Furniture,Office Furniture,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Sudeste,612,1/8/2009 0:00,Normal Air,SÃ£o Paulo,44125,0.03,0.44,64.25,3,75.77,8.99,22.72
Feira de Santana,Ruben Dartt,Brasil,Corporate,1/8/2016,Small Box,High,Office Supplies,Covers and Acessories,GBC DocuBind TL300 Electric Binding System,Nordeste,998,1/10/2009 0:00,Normal Air,Bahia,98026,0.03,0.38,9296.348,25,21752.01,19.99,896.99
Porto Alegre,Luke Schmidt,Brasil,Home Office,1/8/2016,Small Box,Not Specified,Office Supplies,Home appliances,Acco 6 Outlet Guardian Premium Surge Suppressor,Sul,4234,1/9/2009 0:00,Normal Air,Rio Grande do Sul,29577,0.07,0.58,20.43,23,324.28,3.5,14.56
Recife,Cynthia Voltz,Brasil,Corporate,1/9/2016,Small Pack,High,Office Supplies,Pens and art supplies,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Nordeste,1173,1/11/2009 0:00,Fast Air,Pernambuco,95020,0,0.59,-164.25,43,541.45,8.99,11.66
Douradina,Joni Blumstein,Brasil,Home Office,1/9/2016,Small Box,Not Specified,Office Supplies,Hang tags,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Centro-Oeste,2571,1/10/2009 0:00,Normal Air,Mato Grosso do Sul,73505,0.02,0.39,-38.9,9,45.87,6.89,4.13
Vitória,Mark Haberlin,Brasil,Small Business,1/9/2016,Wrap Bag,Not Specified,Office Supplies,Pens and art supplies,Newell 339,Sudeste,4449,1/11/2009 0:00,Normal Air,Espírito Santo,4330,0.09,0.59,-4.09,24,64.11,0.97,2.78
Recife,Mark Haberlin,Brasil,Small Business,1/9/2016,Small Box,Not Specified,Office Supplies,Covers and Acessories,"Acco PRESSTEXÂ® Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",Nordeste,4450,1/10/2009 0:00,Normal Air,Pernambuco,91104,0.01,0.36,-53.8545,11,68.5,7.57,5.38
Recife,Mark Haberlin,Brasil,Small Business,1/9/2016,Wrap Bag,Not Specified,Office Supplies,Pens and art supplies,Newell 337,Nordeste,4451,1/9/2009 0:00,Normal Air,Pernambuco,91104,0.05,0.56,-116.87,44,145.19,3.97,3.28
Goianésia,Olvera Toch,Brasil,Home Office,1/9/2016,Wrap Bag,Low,Office Supplies,Pens and art supplies,12 Colored Short Pencils,Centro-Oeste,5666,1/14/2009 0:00,Normal Air,GoiÃ¡s,53711,0.1,0.58,-71,47,117.88,2.4,2.6
Presidente Prudente,Benjamin Patterson,Brasil,Corporate,1/9/2016,Small Box,Low,Technology,Telephones and Communication,M70,Sudeste,6627,1/16/2009 0:00,Normal Air,SÃ£o Paulo,19406,0.04,0.59,-506.308,1,107.95,8.99,125.99
Brasilia,Yana Sorensen,Brasil,Corporate,1/9/2016,Wrap Bag,Not Specified,Office Supplies,Elastic bands,AccoÂ® Hot Clipsâ„¢ Clips to Go,Sudeste,8161,1/11/2009 0:00,Normal Air,SÃ£o Paulo,7060,0.07,0.4,11.32,39,121.87,1.35,3.29
CorumbÃ¡ de GoiÃ¡s,Darren Powers,Brasil,Corporate,1/10/2016,Wrap Bag,Critical,Furniture,Office Furniture,Document Clip Frames,Centro-Oeste,2045,1/12/2009 0:00,Normal Air,GoiÃ¡s,76201,0.01,0.43,73.33,24,199.12,0.96,8.34
CorumbÃ¡ de GoiÃ¡s,Darren Powers,Brasil,Corporate,1/10/2016,Wrap Bag,Critical,Office Supplies,Pens and art supplies,Newell 337,Centro-Oeste,2046,1/11/2009 0:00,Normal Air,GoiÃ¡s,76201,0.06,0.56,-53.75,19,63.14,3.97,3.28
Florianópolis,Michelle Moray,Brasil,Corporate,1/10/2016,Small Box,Low,Furniture,Office Furniture,"Deflect-o SuperTrayâ„¢ Unbreakable Stackable Tray, Letter, Black",Sul,2775,1/15/2009 0:00,Normal Air,Santa Catarina,40258,0.02,0.42,339.58,35,1009.42,8.55,29.18
Florianópolis,Michelle Moray,Brasil,Corporate,1/10/2016,Jumbo Drum,Low,Technology,Office machines,Panasonic KX-P3200 Dot Matrix Printer,Sul,2776,1/15/2009 0:00,Road Transport,Santa Catarina,40258,0.03,0.57,4913.16,49,15137.11,14.7,297.64
CuiabÃ¡,Maria Bertelson,Brasil,Home Office,1/10/2016,Small Box,Low,Technology,Peripherals,"Fellowes Internet Keyboard, Platinum",Centro-Oeste,3964,1/14/2009 0:00,Fast Air,Mato Grosso,63042,0.05,0.74,-154.24,43,1307.35,8.65,30.42
CuiabÃ¡,Maria Bertelson,Brasil,Home Office,1/10/2016,Small Box,Low,Office Supplies,Storage and Organization,Fellowes Super Stor/DrawerÂ® Files,Centro-Oeste,3965,1/12/2009 0:00,Fast Air,Mato Grosso,63042,0.01,0.66,-179.36,3,523.58,19.99,161.55
Rio de Janeiro,Giulietta Dortch,Brasil,Corporate,1/10/2016,Small Pack,High,Technology,Peripherals,"Imation Neon 80 Minute CD-R Spindle, 50/Pack",Sudeste,4073,1/11/2009 0:00,Normal Air,Rio de Janeiro,5451,0.02,0.45,420.05,34,1177.5,1.99,33.98
AnÃ¡polis,Sean Wendt,Brasil,Corporate,1/10/2016,Small Box,Critical,Office Supplies,Envelopes,Multimedia Mailers,Centro-Oeste,4425,1/12/2009 0:00,Normal Air,GoiÃ¡s,55345,0.09,0.39,1907.94,32,4906.85,19.99,162.93
SÃ£o Paulo,Rob Haberlin,Brasil,Consumer,1/10/2016,Small Pack,Average,Technology,Peripherals,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Sudeste,4787,1/11/2009 0:00,Normal Air,SÃ£o Paulo,15122,0,0.79,-128.47,30,164.78,5.14,5.02
Natal,Ann Steele,Brasil,Corporate,1/10/2016,Small Box,Not Specified,Office Supplies,Paper,Xerox 1996,Nordeste,6273,1/11/2009 0:00,Normal Air,Rio Grande do Norte,84043,0.02,0.37,-85.23,16,112.81,9.17,6.48
AnÃ¡polis,Kristina Nunn,Brasil,Consumer,1/10/2016,Jumbo Box,Critical,Furniture,Estantes,"Hon Metal Bookcases, Putty",Centro-Oeste,7731,1/11/2009 0:00,Road Transport,GoiÃ¡s,48823,0.05,0.56,-686.01,31,2137.1,46.74,70.98
AnÃ¡polis,Kristina Nunn,Brasil,Consumer,1/10/2016,Wrap Bag,Critical,Office Supplies,Pens and art supplies,Newell 309,Centro-Oeste,7732,1/12/2009 0:00,Normal Air,GoiÃ¡s,48823,0.05,0.55,129.87,48,571.17,2.36,11.55
GoiÃ¢nia,Alan Barnes,Brasil,Corporate,1/11/2016,Small Pack,High,Technology,Peripherals,Verbatim DVD-R 4.7GB authoring disc,Centro-Oeste,2726,1/12/2009 0:00,Normal Air,GoiÃ¡s,62701,0.06,0.51,304.42,31,1143.45,1.99,39.24
Porto Alegre,Andy Gerbode,Brasil,Consumer,1/11/2016,Jumbo Box,Low,Technology,Office machines,Okidata ML320 Series Turbo Dot Matrix Printers,Sul,3040,1/18/2009 0:00,Road Transport,Rio Grande do Sul,37087,0.08,0.56,906.8,19,6991.65,12.06,399.98
Belo Horizonte,Bradley Drucker,Brasil,Small Business,1/11/2016,Jumbo Drum,Not Specified,Technology,Office machines,Panasonic KX-P3200 Dot Matrix Printer,Sudeste,4754,1/11/2009 0:00,Road Transport,Minas Gerais,2019,0.08,0.57,653.68,20,4531.34,14.7,297.64
Belo Horizonte,Bradley Drucker,Brasil,Small Business,1/11/2016,Large Box,Not Specified,Furniture,Office Furniture,"Tensor ""Hersey Kiss"" Styled Floor Lamp",Sudeste,4755,1/12/2009 0:00,Normal Air,Minas Gerais,1915,0.02,0.73,-449.04,44,574.5,14.37,12.99
Belo Horizonte,Bradley Drucker,Brasil,Small Business,1/11/2016,Medium Box,Not Specified,Office Supplies,Home appliances,Holmes Odor Grabber,Sudeste,4756,1/12/2009 0:00,Normal Air,Minas Gerais,2341,0.06,0.52,-22.37,18,262.94,6.75,14.42
SÃ£o Paulo,Bradley Drucker,Brasil,Small Business,1/11/2016,Small Box,Not Specified,Furniture,Office Furniture,Eldon Image Series Black Desk Accessories,Sudeste,4757,1/13/2009 0:00,Fast Air,SÃ£o Paulo,7506,0.05,0.49,-103.78,29,138.17,6.6,4.14
SÃ£o Paulo,Bradley Drucker,Brasil,Small Business,1/11/2016,Small Box,Not Specified,Office Supplies,Paper,Xerox 188,Sudeste,4758,1/11/2009 0:00,Normal Air,SÃ£o Paulo,8601,0.03,0.36,30.53,18,216.87,5.01,11.34
JoÃ£o Pessoa,Greg Matthias,Brasil,Home Office,1/12/2016,Jumbo Drum,Low,Furniture,Chairs,Global Leather Executive Chair,Nordeste,1024,1/14/2009 0:00,Road Transport,Paraíba,80112,0.05,0.55,593.79,12,4080.3,39,350.99
JoÃ£o Pessoa,Greg Matthias,Brasil,Home Office,1/12/2016,Small Box,Low,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Nordeste,1025,1/16/2009 0:00,Normal Air,Paraíba,80112,0,0.38,111.4,28,260.79,1.39,8.74
JoÃ£o Pessoa,Greg Matthias,Brasil,Home Office,1/12/2016,Wrap Bag,Low,Office Supplies,Elastic bands,"Brites Rubber Bands, 1 1/2 oz. Box",Nordeste,1026,1/16/2009 0:00,Normal Air,Paraíba,80112,0.02,0.83,-16.72,44,90.35,0.7,1.98
Florianópolis,Cindy Schnelling,Brasil,Corporate,1/12/2016,Small Box,Not Specified,Office Supplies,Storage and Organization,Fellowes Super Stor/DrawerÂ®,Sul,2855,1/13/2009 0:00,Normal Air,Santa Catarina,41042,0.09,0.67,-568.71,40,1030.09,19.99,27.75
Florianópolis,Liz Price,Brasil,Consumer,1/12/2016,Small Box,Average,Technology,Peripherals,Targus USB Numeric Keypad,Sul,3901,1/14/2009 0:00,Normal Air,Santa Catarina,41075,0.1,0.74,-131.03,10,401.14,6.5,40.98
CuiabÃ¡,Guy Thornton,Brasil,Corporate,1/12/2016,Small Box,Not Specified,Office Supplies,Home appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Centro-Oeste,5327,1/15/2009 0:00,Normal Air,Mato Grosso,65807,0.01,0.57,452.49,27,1603.27,3.99,59.98
